flag,t090C,c0S/m,prdM,timeM
0,1.3989463178989467,0.00006774036925656277,-0.12885316050930856,0
0,1.2693818271378631,0.00007047555172509083,-0.13004822788549322,5
0,1.071839554907342,0.00006766324447007521,-0.13742229572448325,10
0,0.8834969694882488,0.00007038457147366224,-0.13510153536754826,15
0,0.5473351079003237,0.00007030531425392401,-0.13895306908833932,20
0,0.2191022417796944,0.00007022792633593883,-0.13658849361980085,25
0,-0.030404734354249285,0.00007016909959969362,-0.13769836658117157,30
0,-0.32581396119331884,0.0000728651984103235,-0.1348906756575912,35
0,-0.6171159447636683,0.00007556227408370334,-0.14215817793922614,40
0,-0.797336622275111,0.00007551978589438427,-0.1428066260286685,45
0,-0.9423509662294123,0.00007548559789445592,-0.12877365499454224,50
0,-1.0517759740374685,0.00007822556192156055,-0.14218959555674196,55
0,-1.1677162826237577,0.00007819822915168814,-0.1409405779145553,60
0,-1.3629361386142022,0.00007815220626635638,-0.14194376374906636,65
0,-2.0831088687439205,0.00008074820006492413,-0.13941094637246762,70
0,-3.1570979819979356,0.00008326080200653521,-0.14047353100104928,75
0,-3.5665541159153804,0.00008593007303648666,-0.12993587180713084,80
0,-3.6903766014987695,0.0000886666838259397,-0.12951413404376455,85
0,-3.8064716888411567,0.00009417092974441007,-0.1268493417752765,90
0,-4.06419908803548,0.00009411018274898969,-0.11177425341559575,95
0,-4.1757872514082805,0.00009684969564617725,-0.12455074866144321,100
0,-4.285356727571127,0.0000995896901897375,-0.11653847743996884,105
0,-4.3368539346560055,0.00009681173297944956,-0.12709879849441608,110
0,-4.329835620910899,0.00009957920715560106,-0.11023609747389358,115
0,-4.355131966693136,0.00009957324514461182,-0.1093147807998996,120
0,-4.307730823259703,0.00009958441695219262,-0.11195026563465883,125
0,-4.259296680235252,0.0001023616552812383,-0.11675597911892205,130
0,-4.232987217928098,0.0001023678558092129,-0.12155617393297593,135
0,-4.386091779487799,0.00010233177226656437,-0.12898020043224867,140
0,-5.033035718582084,0.00010494513433063532,-0.13470599685794352,145
0,-4.886479625420861,0.00010497967356777974,-0.11705967114934237,150
0,-4.741105499432365,0.00010777976880400495,-0.11752676492930321,155
0,-4.499434111849553,0.00010783672162134372,-0.12184882849029255,160
0,-1.9631833348183818,1.657843651532376,1.2336560776858172,165
0,-1.9007683695044761,2.4356935993177226,1.2132901763939878,170
0,-1.881690465867905,2.132796543052265,1.1995836773798243,175
0,-1.8053981891284252,2.188461306123929,1.2053396268651108,180
0,-1.7761296129649508,2.339311796440007,1.1863196384997918,185
0,-1.771617486067214,2.3755668817297515,1.1863196384997918,190
0,-1.7664098792706113,2.381153091671908,1.1889797414546723,195
0,-1.7593600210329327,2.3633698451073934,1.1894167073389028,200
0,-1.754288092812942,2.362636869690166,1.1858826723000082,205
0,-1.7563726076228931,2.3542189660405066,1.195610844975576,210
0,-1.7572758277121352,2.3554136168798964,1.1978345950942956,215
0,-1.747338089549146,2.3508344041357314,1.2137562941934363,220
0,-1.7431321265859196,2.378851553672635,1.2230475012419623,225
0,-1.7512651478240854,2.346339679293176,1.2257082193290926,230
0,-1.7427497210289288,2.3433854109620853,1.2261445702304394,235
0,-1.7357955760170966,2.3438218139360565,1.229241639205072,240
0,-1.732978436875669,2.3441719888257806,1.2226111500250647,245
0,-1.7280039687531143,2.339483914893986,1.2137562941934363,250
0,-1.732595830827563,2.337582282865266,1.2195140807071898,255
0,-1.7403508230556781,2.4312330550024605,1.2257082193290926,260
0,-1.7386470774217173,2.4564333629876564,1.2226111500250647,265
0,-1.736595429741783,2.4598093875103366,1.229241639205072,270
0,-1.7432364177003023,2.457223055812824,1.2323387081658474,275
0,-1.7460520655704954,2.4589833579585183,1.2230475012419623,280
0,-1.7427497210289288,2.4594789813230164,1.229241639205072,285
0,-1.740628971379408,2.46087316029627,1.2226111500250647,290
0,-1.751994867395581,2.46030003749158,1.2199504322396381,295
0,-1.7434797614507147,2.4610126159596732,1.2226111500250647,300
0,-1.7493190945609171,2.459009194652016,1.2199504322396381,305
0,-1.75345422407338,2.4594997086125785,1.2199504322396381,310
0,-1.7489368111237695,2.4594377175204074,1.2164170113754677,315
0,-1.741150488721928,2.4597939276876812,1.2195140807071898,320
0,-1.7347870177250115,2.460723357169005,1.2199504322396381,325
0,-1.7323871334345426,2.4602172774987387,1.2230475012419623,330
0,-1.7457044768657965,2.4610023011116033,1.2133199420298963,335
0,-1.7355173582845395,2.4628203076924113,1.2164170113754677,340
0,-1.7368040818038821,2.462407075501404,1.2195140807071898,345
0,-1.7354130256046005,2.4631560845632054,1.2164170113754677,350
0,-1.7402117473962448,2.4612966353211276,1.2199504322396381,355
0,-1.7394468134206135,2.4591536847013193,1.2230475012419623,360
0,-1.7369084069922564,2.4629494618098775,1.2199504322396381,365
0,-1.73708228105761,2.4616581397402446,1.2199504322396381,370
0,-1.7547050137214341,2.4610591742207233,1.2168533632234595,375
0,-1.7519253714779097,2.459282846057297,1.2133199420298963,380
0,-1.7558514999507224,2.4629444321317,1.2199504322396381,385
0,-1.7533847333913286,2.4592725313375445,1.2168533632234595,390
0,-1.7541491171824645,2.4610746640403222,1.2199504322396381,395
0,-1.7569631793705866,2.4610282043751694,1.2168533632234595,400
0,-1.7522033536526464,2.4574760318990987,1.2137562941934363,405
0,-1.7536626946236424,2.4624175259918734,1.2137562941934363,410
0,-1.7530372762417414,2.461585945942429,1.2137562941934363,415
0,-1.757935846527971,2.461136662441743,1.2137562941934363,420
0,-1.756546307064923,2.4602742491084983,1.2106592251495611,425
