Seaguard RCM SW
Product number:	4430
Serial number:	1711

		System Parameters(0)				Doppler Current Sensor #726(726)															Conductivity #1330(1330)		Temperature #856(856)		Pressure #1140(1140)
Record	Time tag (Gmt)	Battery Voltage(V)	Memory Used(Bytes)	Last Interval(ms)	Time Correction(ms)	Abs Speed(cm/s)	Direction(Deg.M)	North(cm/s)	East(cm/s)	Heading(Deg.M)	Tilt X(Deg)	Tilt Y(Deg)	SP Std(cm/s)	Strength(dB)	Ping Count	Abs Tilt(Deg)	Max Tilt(Deg)	Std Tilt(Deg)	Strength X(dB)	Strength Y(dB)	Conductivity(mS/cm)	Temperature(Deg.C)	Temperature(Deg.C)	Rawdata Temperature	Pressure(kPa)	Temperature(DegC)
610	06.04.24 14:55:00	8.466	8671232	299994	0.000	1.485	254.922	-0.386	-1.433	207.183	0.390	0.206	4.072	-35.926	100	0.446	0.587	0.051	-35.803	-36.048	27.908	-1.053	-1.057	12324434	1373.891	-1.048
611	06.04.24 15:00:00	8.466	8671232	299994	0.000	0.310	230.863	-0.195	-0.240	207.063	0.388	0.192	4.873	-35.670	100	0.437	0.563	0.044	-35.208	-36.131	27.908	-1.076	-1.057	12324456	1373.880	-1.048
612	06.04.24 15:05:00	8.466	8671232	299994	0.000	0.694	90.387	-0.005	0.694	206.902	0.395	0.191	4.289	-35.659	100	0.443	0.561	0.041	-35.057	-36.261	27.908	-1.061	-1.062	12325193	1373.869	-1.054
613	06.04.24 15:10:00	8.466	8671232	299993	0.000	0.762	349.954	0.751	-0.133	206.744	0.395	0.179	3.942	-35.557	100	0.438	0.575	0.052	-35.132	-35.983	27.908	-1.063	-1.065	12325585	1373.847	-1.054
614	06.04.24 15:15:00	8.453	8671232	299994	0.000	2.269	8.410	2.244	0.332	206.619	0.391	0.190	5.120	-35.411	100	0.440	0.560	0.051	-35.662	-35.159	27.908	-1.070	-1.063	12325424	1373.866	-1.055
615	06.04.24 15:20:00	8.459	8671232	299994	0.000	0.667	7.208	0.662	0.084	206.348	0.384	0.195	4.441	-35.124	100	0.435	0.563	0.045	-34.827	-35.421	27.908	-1.070	-1.084	12328437	1373.830	-1.067
616	06.04.24 15:25:00	8.466	8671232	299994	0.000	1.635	102.144	-0.344	1.598	206.219	0.393	0.190	4.402	-34.918	100	0.441	0.561	0.046	-34.891	-34.945	27.908	-1.094	-1.102	12331052	1373.892	-1.089
617	06.04.24 15:30:00	8.459	8671232	299994	0.000	0.768	108.502	-0.244	0.729	206.010	0.386	0.198	4.296	-34.857	100	0.439	0.598	0.050	-34.438	-35.277	27.887	-1.094	-1.096	12330229	1373.870	-1.089
618	06.04.24 15:35:00	8.459	8671232	299994	0.000	1.702	117.155	-0.777	1.514	206.138	0.378	0.196	4.714	-34.748	100	0.431	0.555	0.050	-34.045	-35.450	27.866	-1.098	-1.119	12333528	1373.808	-1.096
619	06.04.24 15:40:00	8.453	8671232	299994	0.000	2.507	39.638	1.931	1.600	205.958	0.392	0.199	4.039	-34.910	100	0.444	0.555	0.042	-34.547	-35.272	27.866	-1.107	-1.113	12332679	1373.851	-1.109
620	06.04.24 15:45:00	8.453	8671232	299994	0.000	0.411	88.104	0.014	0.411	205.843	0.377	0.203	4.567	-35.078	100	0.433	0.550	0.047	-34.685	-35.471	27.866	-1.107	-1.115	12333041	1373.826	-1.105
621	06.04.24 15:50:00	8.459	8671232	299994	0.000	1.339	134.684	-0.942	0.952	205.170	0.370	0.202	4.148	-34.420	100	0.426	0.536	0.042	-34.308	-34.532	27.866	-1.102	-1.105	12331469	1373.865	-1.097
622	06.04.24 15:55:00	8.459	8671232	299994	0.000	1.210	89.824	0.004	1.210	204.888	0.367	0.201	4.104	-35.217	100	0.422	0.556	0.043	-34.421	-36.012	27.866	-1.121	-1.113	12332679	1373.868	-1.106
623	06.04.24 16:00:00	8.459	8671232	299994	0.000	2.500	48.403	1.660	1.869	204.680	0.370	0.202	4.565	-35.291	100	0.427	0.542	0.044	-34.756	-35.825	27.866	-1.111	-1.110	12332230	1373.865	-1.102
624	06.04.24 16:05:00	8.459	8671232	299994	0.000	0.956	82.021	0.133	0.947	204.316	0.378	0.187	4.294	-33.845	100	0.426	0.555	0.047	-34.429	-33.261	27.866	-1.109	-1.111	12332409	1373.855	-1.104
625	06.04.24 16:10:00	8.453	8671232	299994	0.000	0.451	99.759	-0.076	0.444	203.904	0.368	0.209	5.086	-35.394	100	0.427	0.561	0.051	-35.022	-35.766	27.866	-1.119	-1.101	12330999	1373.860	-1.094
626	06.04.24 16:15:00	8.459	8671232	299994	0.000	1.665	90.630	-0.018	1.665	203.699	0.360	0.215	4.695	-34.011	100	0.423	0.543	0.048	-31.714	-36.308	27.908	-1.092	-1.098	12330552	1373.839	-1.090
627	06.04.24 16:20:00	8.453	8671232	299994	0.000	1.195	58.283	0.628	1.016	203.604	0.361	0.206	4.502	-35.005	100	0.420	0.544	0.047	-34.573	-35.438	27.866	-1.117	-1.125	12334529	1373.825	-1.114
628	06.04.24 16:25:00	8.453	8671232	299994	0.000	1.769	82.395	0.234	1.754	203.631	0.366	0.203	3.815	-34.134	100	0.422	0.547	0.044	-33.295	-34.973	27.866	-1.109	-1.117	12333293	1373.869	-1.111
629	06.04.24 16:30:00	8.453	8671232	299994	0.000	2.209	111.472	-0.809	2.056	203.927	0.373	0.211	4.491	-35.172	100	0.433	0.519	0.043	-34.839	-35.504	27.866	-1.092	-1.107	12331767	1373.833	-1.101
630	06.04.24 16:35:00	8.453	8671232	299994	0.000	3.054	104.383	-0.759	2.958	204.385	0.364	0.212	4.788	-35.406	100	0.425	0.544	0.048	-34.899	-35.914	27.866	-1.109	-1.108	12332014	1373.856	-1.100
631	06.04.24 16:40:00	8.453	8671232	299994	0.000	2.037	56.091	1.137	1.691	204.976	0.375	0.212	4.233	-35.089	100	0.436	0.567	0.046	-34.621	-35.556	27.908	-1.104	-1.098	12330432	1373.865	-1.091
632	06.04.24 16:45:00	8.447	8671232	299993	0.000	3.113	35.433	2.537	1.805	205.203	0.377	0.215	4.604	-34.650	100	0.440	0.533	0.041	-34.049	-35.252	27.866	-1.102	-1.107	12331850	1373.820	-1.099
633	06.04.24 16:50:00	8.453	8671232	299994	0.000	2.948	87.767	0.115	2.946	205.903	0.378	0.228	4.180	-34.764	100	0.446	0.588	0.050	-33.900	-35.628	27.825	-1.127	-1.153	12338527	1373.821	-1.143
634	06.04.24 16:55:00	8.447	8671232	299994	0.000	2.798	73.341	0.802	2.681	206.427	0.374	0.221	4.497	-34.524	100	0.440	0.545	0.044	-34.314	-34.734	27.825	-1.137	-1.157	12339095	1373.832	-1.144
635	06.04.24 17:00:00	8.447	8671232	299994	0.000	2.752	73.599	0.777	2.640	206.432	0.371	0.210	4.596	-35.476	100	0.432	0.560	0.052	-34.738	-36.214	27.825	-1.154	-1.150	12338169	1373.823	-1.141
636	06.04.24 17:05:00	8.447	8671232	299994	0.000	2.979	103.377	-0.689	2.898	206.458	0.365	0.216	4.800	-35.263	100	0.430	0.560	0.043	-34.990	-35.535	27.825	-1.154	-1.149	12338016	1373.839	-1.140
637	06.04.24 17:10:00	8.453	8671232	299994	0.000	3.022	97.870	-0.414	2.994	206.677	0.383	0.216	4.518	-35.357	100	0.445	0.552	0.048	-34.752	-35.963	27.825	-1.156	-1.151	12338288	1373.855	-1.143
638	06.04.24 17:15:00	8.447	8671232	299994	0.000	0.987	107.890	-0.303	0.940	206.426	0.374	0.218	4.097	-35.633	100	0.438	0.555	0.045	-35.573	-35.693	27.825	-1.137	-1.147	12337704	1373.821	-1.139
639	06.04.24 17:20:00	8.447	8671232	299994	0.000	1.855	93.991	-0.129	1.851	206.887	0.378	0.212	4.281	-34.979	100	0.438	0.578	0.044	-34.725	-35.232	27.825	-1.137	-1.154	12338706	1373.845	-1.145
640	06.04.24 17:25:00	8.453	8671232	299994	0.000	2.988	127.628	-1.824	2.366	207.137	0.380	0.211	4.454	-35.058	100	0.440	0.529	0.043	-34.621	-35.496	27.825	-1.158	-1.163	12340031	1373.865	-1.156
641	06.04.24 17:30:00	8.447	8671232	299994	0.000	2.104	124.945	-1.205	1.725	207.579	0.377	0.219	4.486	-34.215	100	0.441	0.555	0.044	-34.260	-34.169	27.825	-1.173	-1.197	12345038	1373.831	-1.181
642	06.04.24 17:35:00	8.447	8671232	299993	0.000	1.990	81.229	0.303	1.967	207.995	0.375	0.199	4.297	-34.556	100	0.432	0.532	0.047	-33.606	-35.506	27.784	-1.201	-1.205	12346184	1373.840	-1.194
643	06.04.24 17:40:00	8.447	8671232	299994	0.000	2.475	119.956	-1.236	2.145	208.364	0.378	0.188	4.470	-34.694	100	0.426	0.572	0.051	-33.888	-35.500	27.784	-1.214	-1.205	12346184	1373.855	-1.194
644	06.04.24 17:45:00	8.447	8671232	299993	0.000	2.837	102.173	-0.598	2.773	208.584	0.370	0.194	3.977	-34.281	100	0.423	0.565	0.049	-33.897	-34.666	27.784	-1.199	-1.199	12345293	1373.850	-1.191
645	06.04.24 17:50:00	8.441	8671232	299993	0.000	1.500	107.674	-0.455	1.429	209.223	0.370	0.198	4.918	-34.466	100	0.427	0.532	0.043	-32.982	-35.949	27.784	-1.193	-1.203	12345858	1373.863	-1.192
646	06.04.24 17:55:00	8.441	8671232	299993	0.000	1.781	116.958	-0.807	1.588	209.224	0.385	0.190	4.596	-34.973	100	0.436	0.558	0.048	-34.183	-35.764	27.784	-1.197	-1.203	12345968	1373.865	-1.192
647	06.04.24 18:00:00	8.441	8671232	299993	0.000	1.287	156.738	-1.183	0.508	208.591	0.384	0.193	4.807	-34.941	100	0.434	0.545	0.051	-33.913	-35.968	27.784	-1.199	-1.203	12345851	1373.819	-1.195
648	06.04.24 18:05:00	8.447	8671232	299994	0.000	1.512	94.951	-0.131	1.507	208.199	0.383	0.183	4.727	-35.104	100	0.428	0.515	0.042	-34.495	-35.713	27.784	-1.197	-1.206	12346341	1373.847	-1.201
649	06.04.24 18:10:00	8.441	8671232	299994	0.000	1.618	3.340	1.616	0.094	208.128	0.379	0.176	4.752	-34.503	100	0.423	0.522	0.045	-34.234	-34.773	27.784	-1.199	-1.230	12349837	1373.880	-1.209
650	06.04.24 18:15:00	8.441	8671232	299994	0.000	0.786	34.547	0.648	0.446	208.326	0.375	0.193	4.716	-34.509	100	0.426	0.513	0.046	-34.615	-34.402	27.784	-1.228	-1.237	12350896	1373.866	-1.218
651	06.04.24 18:20:00	8.441	8671232	299994	0.000	0.759	346.362	0.738	-0.179	208.783	0.370	0.192	4.481	-34.705	100	0.421	0.534	0.045	-34.553	-34.857	27.784	-1.207	-1.205	12346229	1373.891	-1.198
652	06.04.24 18:25:00	8.441	8671232	299993	0.000	0.378	279.036	0.059	-0.373	209.255	0.372	0.184	3.759	-34.515	100	0.421	0.542	0.054	-33.346	-35.684	27.784	-1.193	-1.202	12345722	1373.853	-1.196
653	06.04.24 18:30:00	8.441	8671232	299993	0.000	2.202	358.321	2.201	-0.064	210.129	0.372	0.196	4.116	-33.982	100	0.430	0.570	0.049	-32.450	-35.514	27.784	-1.205	-1.203	12345968	1373.883	-1.196
654	06.04.24 18:35:00	8.441	8671232	299994	0.000	0.609	121.577	-0.319	0.519	210.803	0.374	0.192	5.436	-34.736	100	0.427	0.571	0.053	-34.169	-35.304	27.784	-1.212	-1.194	12344575	1373.865	-1.191
655	06.04.24 18:40:00	8.441	8671232	299994	0.000	1.621	95.974	-0.169	1.612	211.724	0.377	0.178	4.665	-35.419	100	0.424	0.511	0.048	-35.043	-35.796	27.784	-1.210	-1.195	12344762	1373.876	-1.189
656	06.04.24 18:45:00	8.441	8671232	299994	0.000	0.447	352.404	0.444	-0.059	212.399	0.376	0.177	4.698	-35.529	100	0.422	0.584	0.052	-35.732	-35.325	27.804	-1.183	-1.181	12342636	1373.887	-1.179
657	06.04.24 18:50:00	8.435	8671232	299994	0.000	1.099	34.031	0.911	0.615	212.492	0.374	0.187	4.212	-35.218	100	0.427	0.540	0.054	-34.976	-35.460	27.825	-1.181	-1.185	12343334	1373.897	-1.178
658	06.04.24 18:55:00	8.435	8671232	299994	0.000	1.777	358.466	1.776	-0.048	213.127	0.371	0.196	5.106	-35.378	100	0.426	0.537	0.050	-35.078	-35.678	27.804	-1.193	-1.182	12342770	1373.866	-1.175
659	06.04.24 19:00:00	8.441	8671232	299994	0.000	2.046	36.411	1.646	1.214	214.004	0.370	0.189	4.117	-35.479	100	0.426	0.556	0.050	-35.758	-35.201	27.825	-1.185	-1.175	12341838	1373.862	-1.168
660	06.04.24 19:05:00	8.435	8675328	299994	0.000	0.379	20.134	0.356	0.131	214.625	0.368	0.196	4.424	-35.945	100	0.428	0.615	0.065	-35.656	-36.234	27.825	-1.172	-1.150	12338131	1373.895	-1.147
661	06.04.24 19:10:00	8.441	8675328	299993	0.000	1.537	31.273	1.313	0.798	215.408	0.375	0.182	4.894	-35.694	100	0.434	0.559	0.067	-35.198	-36.189	27.825	-1.154	-1.136	12336022	1373.907	-1.134
662	06.04.24 19:15:00	8.441	8675328	299994	0.000	2.348	20.288	2.203	0.814	215.722	0.379	0.197	4.684	-35.846	100	0.445	0.611	0.070	-35.477	-36.215	27.866	-1.129	-1.118	12333505	1373.906	-1.116
663	06.04.24 19:20:00	8.435	8675328	299994	0.000	1.330	42.601	0.979	0.900	216.954	0.376	0.187	4.238	-35.678	100	0.442	0.631	0.078	-35.441	-35.915	27.846	-1.117	-1.138	12336306	1373.887	-1.121
664	06.04.24 19:25:00	8.435	8679424	299994	0.000	2.989	28.402	2.629	1.422	218.840	0.370	0.199	4.266	-35.177	100	0.440	0.586	0.072	-35.402	-34.953	27.825	-1.142	-1.147	12337689	1373.847	-1.132
665	06.04.24 19:30:00	8.435	8679424	299994	0.000	2.403	68.923	0.864	2.243	221.151	0.370	0.199	4.226	-35.774	100	0.444	0.594	0.069	-35.577	-35.970	27.866	-1.107	-1.119	12333587	1373.893	-1.106
666	06.04.24 19:35:00	8.435	8679424	299994	0.000	3.115	52.006	1.918	2.455	222.772	0.383	0.204	4.296	-35.590	100	0.460	0.618	0.072	-35.276	-35.904	27.887	-1.117	-1.095	12330080	1373.880	-1.091
667	06.04.24 19:40:00	8.435	8679424	299993	0.000	2.729	37.026	2.179	1.643	225.282	0.392	0.200	4.462	-36.339	100	0.464	0.631	0.066	-36.307	-36.372	27.866	-1.100	-1.101	12330910	1373.884	-1.091
668	06.04.24 19:45:00	8.435	8679424	299994	0.000	2.562	35.236	2.092	1.478	228.827	0.396	0.200	4.580	-36.012	100	0.490	0.669	0.091	-35.523	-36.502	27.866	-1.094	-1.099	12330701	1373.911	-1.091
669	06.04.24 19:50:00	8.430	8679424	299994	0.000	5.210	66.090	2.112	4.763	233.784	0.416	0.210	4.458	-36.432	100	0.516	0.772	0.102	-36.023	-36.842	27.866	-1.113	-1.115	12333063	1373.891	-1.108
670	06.04.24 19:55:00	8.435	8679424	299994	0.000	5.442	67.301	2.100	5.021	238.852	0.461	0.210	4.529	-35.476	100	0.551	0.793	0.097	-34.902	-36.050	27.825	-1.156	-1.162	12339875	1373.883	-1.150
671	06.04.24 20:00:00	8.435	8679424	299994	0.000	4.956	62.301	2.304	4.388	241.300	0.445	0.206	4.321	-35.623	100	0.549	0.897	0.129	-35.137	-36.109	27.846	-1.154	-1.139	12336569	1373.913	-1.137
672	06.04.24 20:05:00	8.430	8679424	299994	0.000	2.887	52.249	1.767	2.283	242.630	0.440	0.204	4.523	-36.080	100	0.553	0.903	0.132	-35.762	-36.397	27.804	-1.164	-1.173	12341536	1373.915	-1.160
673	06.04.24 20:10:00	8.424	8679424	299993	0.000	5.625	57.592	3.015	4.749	243.797	0.466	0.207	4.451	-36.005	100	0.549	0.818	0.104	-35.540	-36.470	27.784	-1.195	-1.209	12346848	1373.857	-1.189
674	06.04.24 20:15:00	8.430	8679424	299994	0.000	4.478	62.582	2.062	3.975	243.429	0.467	0.210	4.117	-36.073	100	0.556	0.776	0.106	-35.607	-36.540	27.784	-1.208	-1.206	12346416	1373.892	-1.201
675	06.04.24 20:20:00	8.430	8679424	299994	0.000	3.783	72.885	1.113	3.615	243.286	0.466	0.224	4.474	-35.607	100	0.541	0.830	0.084	-35.313	-35.900	27.763	-1.228	-1.223	12348868	1373.897	-1.213
676	06.04.24 20:25:00	8.435	8679424	299993	0.000	4.464	76.010	1.079	4.331	243.544	0.471	0.225	4.906	-35.970	100	0.527	0.660	0.051	-35.707	-36.234	27.753	-1.238	-1.234	12350495	1373.865	-1.223
677	06.04.24 20:30:00	8.430	8679424	299994	0.000	4.490	54.251	2.623	3.644	244.139	0.461	0.224	4.815	-35.386	100	0.520	0.659	0.076	-35.165	-35.606	27.753	-1.230	-1.230	12349934	1373.884	-1.221
678	06.04.24 20:35:00	8.430	8679424	299994	0.000	4.687	54.861	2.698	3.833	245.340	0.440	0.214	4.416	-35.049	100	0.501	0.711	0.088	-34.748	-35.351	27.753	-1.220	-1.231	12350080	1373.873	-1.221
679	06.04.24 20:40:00	8.430	8679424	299993	0.000	5.144	52.066	3.162	4.057	246.095	0.451	0.228	4.819	-34.726	100	0.532	0.874	0.117	-34.173	-35.278	27.732	-1.244	-1.252	12353117	1373.884	-1.239
680	06.04.24 20:45:00	8.430	8679424	299994	0.000	4.424	39.064	3.435	2.788	248.817	0.458	0.234	4.601	-35.065	100	0.529	0.768	0.098	-34.738	-35.392	27.711	-1.290	-1.282	12357467	1373.862	-1.274
681	06.04.24 20:50:00	8.424	8675328	299994	0.000	4.589	47.542	3.098	3.386	248.590	0.462	0.218	4.847	-34.527	100	0.559	0.853	0.142	-34.393	-34.662	27.711	-1.273	-1.283	12357709	1373.874	-1.273
682	06.04.24 20:55:00	8.418	8675328	299993	0.000	5.505	57.155	2.986	4.625	249.097	0.462	0.236	4.614	-34.618	100	0.533	0.763	0.106	-34.029	-35.206	27.722	-1.282	-1.284	12357791	1373.864	-1.274
683	06.04.24 21:00:00	8.430	8675328	299994	0.000	5.048	58.774	2.617	4.317	249.282	0.471	0.210	4.850	-34.690	100	0.676	1.308	0.241	-34.306	-35.074	27.706	-1.284	-1.284	12357732	1373.888	-1.274
684	06.04.24 21:05:00	8.424	8675328	299994	0.000	5.941	65.206	2.492	5.394	247.640	0.452	0.230	5.321	-34.840	100	0.599	1.196	0.205	-34.298	-35.382	27.706	-1.286	-1.281	12357318	1373.875	-1.272
685	06.04.24 21:10:00	8.424	8675328	299994	0.000	5.034	37.326	4.003	3.052	247.507	0.441	0.222	4.257	-34.809	100	0.517	0.756	0.120	-34.100	-35.518	27.742	-1.281	-1.280	12357176	1373.880	-1.270
686	06.04.24 21:15:00	8.418	8675328	299994	0.000	5.660	55.444	3.210	4.661	246.763	0.472	0.227	4.080	-35.263	100	0.550	0.835	0.121	-34.587	-35.940	27.742	-1.261	-1.262	12354603	1373.905	-1.255
687	06.04.24 21:20:00	8.418	8675328	299994	0.000	4.859	40.237	3.709	3.139	246.987	0.464	0.214	4.389	-34.596	100	0.528	0.758	0.099	-34.179	-35.013	27.742	-1.265	-1.264	12354829	1373.904	-1.254
688	06.04.24 21:25:00	8.418	8675328	299994	0.000	5.055	56.333	2.802	4.207	245.547	0.468	0.235	4.573	-35.489	100	0.545	0.793	0.112	-35.050	-35.929	27.742	-1.257	-1.256	12353697	1373.906	-1.247
689	06.04.24 21:30:00	8.418	8675328	299994	0.000	6.183	55.961	3.461	5.124	244.383	0.483	0.221	4.188	-34.933	100	0.674	1.266	0.231	-34.316	-35.551	27.742	-1.236	-1.254	12353445	1373.904	-1.244
690	06.04.24 21:35:00	8.424	8675328	299994	0.000	4.276	42.269	3.164	2.876	243.993	0.481	0.222	4.303	-34.906	100	0.644	1.263	0.205	-34.664	-35.149	27.742	-1.234	-1.247	12352379	1373.889	-1.239
691	06.04.24 21:40:00	8.418	8675328	299994	0.000	4.641	44.234	3.325	3.238	242.677	0.499	0.215	4.415	-34.551	100	0.681	1.180	0.207	-33.976	-35.126	27.742	-1.245	-1.245	12352021	1373.888	-1.235
692	06.04.24 21:45:00	8.418	8675328	299994	0.000	4.899	46.100	3.397	3.530	243.006	0.469	0.230	4.811	-34.911	100	0.617	1.204	0.201	-34.217	-35.605	27.742	-1.232	-1.242	12351588	1373.869	-1.232
693	06.04.24 21:50:00	8.418	8675328	299994	0.000	6.692	55.254	3.814	5.498	241.200	0.506	0.235	5.459	-35.023	100	0.875	1.482	0.292	-34.461	-35.584	27.784	-1.230	-1.229	12349750	1373.860	-1.222
694	06.04.24 21:55:00	8.418	8675328	299994	0.000	4.946	44.503	3.527	3.467	238.954	0.472	0.229	4.506	-34.796	100	0.680	1.320	0.220	-34.259	-35.332	27.784	-1.228	-1.232	12350219	1373.907	-1.223
695	06.04.24 22:00:00	8.418	8675328	299993	0.000	6.298	58.860	3.257	5.391	237.236	0.517	0.233	4.459	-34.722	100	0.699	1.365	0.213	-34.304	-35.140	27.784	-1.224	-1.228	12349630	1373.898	-1.220
696	06.04.24 22:05:00	8.418	8675328	299993	0.000	5.285	49.195	3.454	4.000	235.591	0.520	0.254	4.313	-34.654	100	0.639	1.159	0.149	-34.225	-35.083	27.784	-1.210	-1.227	12349414	1373.877	-1.218
697	06.04.24 22:10:00	8.418	8675328	299994	0.000	6.277	51.748	3.886	4.930	235.222	0.526	0.254	4.556	-35.138	100	0.667	1.060	0.152	-34.714	-35.562	27.742	-1.234	-1.247	12352341	1373.877	-1.239
698	06.04.24 22:15:00	8.412	8675328	299994	0.000	5.582	36.190	4.505	3.296	234.430	0.528	0.261	4.723	-34.888	100	0.654	1.178	0.140	-34.599	-35.178	27.784	-1.230	-1.232	12350145	1373.867	-1.223
699	06.04.24 22:20:00	8.412	8675328	299994	0.000	5.827	56.103	3.250	4.836	232.225	0.540	0.278	4.612	-35.471	100	0.654	1.008	0.122	-34.906	-36.035	27.742	-1.232	-1.256	12353742	1373.880	-1.238
700	06.04.24 22:25:00	8.405	8675328	299994	0.000	5.732	44.516	4.087	4.019	231.343	0.539	0.265	4.675	-34.680	100	0.653	0.936	0.123	-34.328	-35.032	27.784	-1.232	-1.229	12349682	1373.883	-1.220
701	06.04.24 22:30:00	8.412	8675328	299994	0.000	3.359	49.853	2.166	2.568	230.460	0.522	0.270	4.857	-35.228	100	0.646	1.027	0.137	-35.011	-35.446	27.763	-1.230	-1.233	12350301	1373.884	-1.231
702	06.04.24 22:35:00	8.418	8675328	299994	0.000	4.504	37.233	3.586	2.725	229.056	0.534	0.264	5.136	-34.856	100	0.657	1.021	0.137	-34.216	-35.496	27.784	-1.216	-1.233	12350361	1373.904	-1.220
703	06.04.24 22:40:00	8.405	8675328	299994	0.000	4.755	62.534	2.193	4.219	229.144	0.542	0.256	4.482	-34.542	100	0.683	1.130	0.151	-33.572	-35.513	27.784	-1.226	-1.223	12348875	1373.900	-1.214
704	06.04.24 22:45:00	8.412	8683520	299994	0.000	4.825	40.313	3.679	3.122	230.134	0.518	0.265	4.845	-35.168	100	0.634	0.960	0.129	-34.807	-35.530	27.784	-1.218	-1.224	12349017	1373.893	-1.214
705	06.04.24 22:50:00	8.412	8683520	299994	0.000	5.765	55.530	3.263	4.753	230.400	0.524	0.272	4.378	-34.993	100	0.653	1.119	0.139	-34.471	-35.514	27.784	-1.228	-1.223	12348793	1373.921	-1.213
706	06.04.24 22:55:00	8.405	8683520	299994	0.000	5.283	55.036	3.028	4.330	229.567	0.528	0.244	4.396	-34.934	100	0.646	1.116	0.132	-34.051	-35.817	27.784	-1.226	-1.218	12348105	1373.905	-1.208
707	06.04.24 23:00:00	8.418	8683520	299993	0.000	5.233	48.027	3.500	3.891	227.728	0.532	0.269	4.292	-34.784	100	0.666	1.061	0.148	-34.158	-35.410	27.784	-1.208	-1.213	12347434	1373.927	-1.205
708	06.04.24 23:05:00	8.412	8683520	299994	0.000	4.382	33.220	3.666	2.401	227.818	0.520	0.253	4.452	-34.689	100	0.613	0.905	0.108	-34.074	-35.305	27.784	-1.212	-1.212	12347180	1373.895	-1.203
709	06.04.24 23:10:00	8.412	8683520	299994	0.000	3.299	62.702	1.513	2.932	228.235	0.513	0.267	4.767	-35.102	100	0.619	0.839	0.118	-34.720	-35.484	27.784	-1.212	-1.210	12346923	1373.898	-1.201
710	06.04.24 23:15:00	8.405	8695808	299994	0.000	4.315	48.899	2.837	3.252	228.971	0.524	0.256	4.478	-35.355	100	0.625	0.900	0.125	-35.141	-35.570	27.784	-1.212	-1.216	12347866	1373.905	-1.209
711	06.04.24 23:20:00	8.405	8704000	299994	0.000	4.959	49.653	3.211	3.780	228.923	0.528	0.264	4.434	-34.731	100	0.629	0.860	0.102	-34.621	-34.840	27.784	-1.216	-1.211	12347038	1373.881	-1.204
712	06.04.24 23:25:00	8.412	8704000	299993	0.000	3.941	26.813	3.517	1.778	228.350	0.497	0.259	4.849	-34.557	100	0.571	0.787	0.089	-34.254	-34.859	27.784	-1.212	-1.207	12346565	1373.926	-1.199
713	06.04.24 23:30:00	8.412	8704000	299994	0.000	4.508	51.537	2.804	3.530	228.678	0.501	0.260	4.374	-34.989	100	0.577	0.824	0.102	-34.594	-35.383	27.784	-1.216	-1.206	12346401	1373.901	-1.197
714	06.04.24 23:35:00	8.412	8704000	299994	0.000	4.178	67.718	1.584	3.866	228.795	0.517	0.239	4.418	-34.770	100	0.576	0.750	0.079	-33.899	-35.641	27.784	-1.205	-1.206	12346311	1373.880	-1.196
715	06.04.24 23:40:00	8.405	8704000	299994	0.000	3.812	45.257	2.683	2.707	230.146	0.499	0.249	4.427	-35.342	100	0.573	0.786	0.098	-34.930	-35.753	27.784	-1.201	-1.215	12347730	1373.919	-1.203
716	06.04.24 23:45:00	8.405	8704000	299994	0.000	3.911	40.940	2.954	2.563	229.707	0.515	0.244	4.269	-35.219	100	0.576	0.827	0.084	-34.884	-35.553	27.784	-1.207	-1.212	12347195	1373.888	-1.202
717	06.04.24 23:50:00	8.405	8704000	299994	0.000	4.196	48.380	2.787	3.137	229.178	0.499	0.241	4.400	-35.195	100	0.562	0.717	0.076	-34.910	-35.480	27.784	-1.212	-1.211	12347053	1373.884	-1.202
718	06.04.24 23:55:00	8.412	8704000	299994	0.000	3.690	34.221	3.051	2.075	228.523	0.507	0.238	4.328	-34.611	100	0.569	0.735	0.065	-34.435	-34.786	27.784	-1.208	-1.201	12345670	1373.919	-1.192
719	07.04.24 00:00:00	8.405	8704000	299993	0.000	3.905	22.094	3.618	1.469	227.870	0.507	0.252	4.615	-34.565	100	0.571	0.763	0.076	-33.849	-35.282	27.784	-1.191	-1.201	12345569	1373.880	-1.189
720	07.04.24 00:05:00	8.399	8704000	299994	0.000	5.013	45.482	3.514	3.574	228.883	0.520	0.242	4.211	-34.714	100	0.581	0.790	0.071	-34.571	-34.857	27.784	-1.208	-1.200	12345427	1373.914	-1.190
721	07.04.24 00:10:00	8.405	8704000	299994	0.000	4.963	23.981	4.534	2.017	228.947	0.499	0.233	4.337	-34.737	100	0.563	0.742	0.083	-34.102	-35.371	27.784	-1.207	-1.199	12345286	1373.899	-1.190
722	07.04.24 00:15:00	8.405	8704000	299994	0.000	3.739	31.678	3.182	1.963	228.576	0.512	0.254	4.975	-35.374	100	0.577	0.728	0.074	-34.945	-35.803	27.784	-1.207	-1.199	12345267	1373.922	-1.188
723	07.04.24 00:20:00	8.399	8704000	299994	0.000	4.907	33.952	4.070	2.740	227.431	0.504	0.258	4.698	-34.962	100	0.573	0.708	0.062	-34.554	-35.370	27.784	-1.199	-1.201	12345599	1373.900	-1.191
724	07.04.24 00:25:00	8.405	8704000	299994	0.000	4.180	39.399	3.230	2.653	227.285	0.506	0.259	4.565	-34.803	100	0.574	0.697	0.065	-34.526	-35.079	27.784	-1.203	-1.200	12345405	1373.881	-1.189
