Seaguard RCM SW
Product number:	4430
Serial number:	1705

		System Parameters(0)				Temperature #835(835)	Optode #492(492)			Conductivity #1306(1306)		Doppler Current Sensor #723(723)
Record	Time tag (Gmt)	Battery Voltage(V)	Memory Used(Bytes)	Last Interval(ms)	Time Correction(ms)	Temperature(Deg.C)	O2Concentration(uM)	AirSaturation(%)	Temperature(Deg.C)	Conductivity(mS/cm)	Temperature(Deg.C)	Abs Speed(cm/s)	Direction(Deg.M)	North(cm/s)	East(cm/s)	Heading(Deg.M)	Tilt X(Deg)	Tilt Y(Deg)	SP Std(cm/s)	Strength(dB)	Ping Count	Abs Tilt(Deg)	Max Tilt(Deg)	Std Tilt(Deg)	Strength X(dB)	Strength Y(dB)
798	07.04.24 06:35:00	6.959	8646656	299993	0.000	-1.690	439.958	91.802	-1.681	27.334	-1.706	3.165	308.625	1.976	-2.473	40.594	-0.859	-0.160	5.075	-43.569	100	0.876	0.990	0.049	-43.739	-43.399
799	07.04.24 06:40:00	6.959	8646656	299993	0.000	-1.690	440.112	91.818	-1.687	27.335	-1.695	3.851	280.216	0.683	-3.790	40.685	-0.902	-0.171	4.395	-43.534	100	0.920	1.037	0.052	-43.755	-43.312
800	07.04.24 06:45:00	6.959	8646656	299993	0.000	-1.687	440.245	91.852	-1.685	27.338	-1.686	3.852	297.025	1.750	-3.431	40.911	-0.944	-0.169	4.441	-43.421	100	0.961	1.169	0.056	-43.750	-43.092
801	07.04.24 06:50:00	6.965	8646656	299994	0.000	-1.686	440.134	91.832	-1.683	27.336	-1.727	2.903	321.898	2.285	-1.792	41.829	-0.946	-0.173	4.532	-43.520	100	0.964	1.098	0.052	-43.528	-43.511
802	07.04.24 06:55:00	6.959	8646656	299994	0.000	-1.646	439.892	91.869	-1.651	27.373	-1.693	2.298	292.265	0.871	-2.127	41.756	-0.929	-0.177	3.950	-43.207	100	0.947	1.074	0.053	-43.132	-43.281
803	07.04.24 07:00:00	6.965	8646656	299994	0.000	-1.614	439.253	91.822	-1.619	27.401	-1.624	1.941	309.958	1.246	-1.488	41.854	-0.964	-0.158	4.186	-42.544	100	0.979	1.104	0.050	-42.839	-42.250
804	07.04.24 07:05:00	6.953	8646656	299993	0.000	-1.588	438.937	91.796	-1.604	27.421	-1.612	3.762	344.064	3.617	-1.033	42.153	-0.995	-0.169	4.304	-42.515	100	1.012	1.172	0.053	-42.690	-42.339
805	07.04.24 07:10:00	6.953	8646656	299993	0.000	-1.600	438.864	91.799	-1.597	27.422	-1.603	3.139	323.373	2.519	-1.873	42.683	-0.992	-0.167	4.146	-42.455	100	1.007	1.181	0.050	-42.718	-42.191
806	07.04.24 07:15:00	6.959	8646656	299994	0.000	-1.624	439.050	91.773	-1.621	27.396	-1.680	2.917	340.984	2.758	-0.950	43.066	-0.993	-0.175	4.146	-42.115	100	1.010	1.156	0.050	-42.380	-41.850
807	07.04.24 07:20:00	6.953	8646656	299994	0.000	-1.653	439.299	91.759	-1.646	27.367	-1.684	2.508	325.867	2.076	-1.407	43.313	-0.996	-0.163	4.361	-43.326	100	1.011	1.112	0.047	-43.622	-43.029
808	07.04.24 07:25:00	6.953	8646656	299994	0.000	-1.625	439.135	91.819	-1.611	27.394	-1.614	4.101	313.306	2.813	-2.984	45.741	-1.068	-0.131	3.901	-43.312	100	1.078	1.180	0.052	-43.752	-42.872
809	07.04.24 07:30:00	6.959	8646656	299994	0.000	-1.617	439.432	91.874	-1.613	27.401	-1.661	3.313	316.824	2.416	-2.267	44.962	-1.091	-0.128	3.919	-43.667	100	1.101	1.260	0.053	-43.435	-43.899
810	07.04.24 07:35:00	6.953	8646656	299994	0.000	-1.621	439.172	91.828	-1.610	27.388	-1.601	2.190	1.955	2.189	0.075	45.504	-1.066	-0.122	4.321	-42.555	100	1.075	1.253	0.054	-42.480	-42.629
811	07.04.24 07:40:00	6.959	8646656	299994	0.000	-1.579	439.134	91.908	-1.577	27.430	-1.577	2.108	307.565	1.285	-1.671	44.640	-1.101	-0.132	4.239	-42.642	100	1.111	1.211	0.044	-42.803	-42.481
812	07.04.24 07:45:00	6.959	8646656	299994	0.000	-1.591	439.063	91.862	-1.589	27.423	-1.556	3.994	340.904	3.775	-1.307	44.410	-1.075	-0.135	5.046	-43.033	100	1.085	1.237	0.055	-42.958	-43.109
813	07.04.24 07:50:00	6.959	8646656	299994	0.000	-1.538	438.323	91.831	-1.542	27.471	-1.539	4.100	334.529	3.701	-1.763	44.549	-1.112	-0.121	4.248	-42.646	100	1.121	1.259	0.053	-43.008	-42.283
814	07.04.24 07:55:00	6.959	8646656	299994	0.000	-1.554	438.568	91.865	-1.549	27.454	-1.548	3.274	320.671	2.533	-2.075	44.178	-1.052	-0.130	4.593	-42.986	100	1.062	1.208	0.050	-43.191	-42.782
815	07.04.24 08:00:00	6.953	8646656	299994	0.000	-1.543	438.551	91.871	-1.545	27.465	-1.592	3.781	339.323	3.537	-1.335	44.875	-1.080	-0.121	4.428	-42.847	100	1.088	1.188	0.055	-43.085	-42.608
816	07.04.24 08:05:00	6.959	8646656	299994	0.000	-1.585	438.671	91.817	-1.575	27.427	-1.509	1.935	322.448	1.534	-1.179	44.993	-1.093	-0.113	4.505	-42.850	100	1.101	1.233	0.057	-43.158	-42.541
817	07.04.24 08:10:00	6.953	8646656	299994	0.000	-1.555	438.482	91.817	-1.560	27.453	-1.543	1.463	311.159	0.963	-1.102	45.379	-1.131	-0.103	4.450	-42.851	100	1.139	1.268	0.048	-43.318	-42.385
818	07.04.24 08:15:00	6.959	8646656	299994	0.000	-1.525	438.349	91.878	-1.527	27.483	-1.513	2.132	329.554	1.838	-1.080	45.726	-1.141	-0.118	4.467	-43.300	100	1.150	1.292	0.058	-43.179	-43.421
819	07.04.24 08:20:00	6.959	8646656	299994	0.000	-1.511	438.305	91.905	-1.513	27.494	-1.535	3.015	316.752	2.196	-2.066	46.353	-1.227	-0.071	4.347	-43.118	100	1.231	1.368	0.056	-42.985	-43.251
820	07.04.24 08:25:00	6.953	8646656	299994	0.000	-1.512	438.237	91.897	-1.511	27.493	-1.558	5.036	344.088	4.843	-1.381	46.311	-1.224	-0.109	4.058	-43.228	100	1.231	1.378	0.048	-43.399	-43.057
821	07.04.24 08:30:00	6.959	8646656	299994	0.000	-1.552	438.269	91.805	-1.548	27.454	-1.499	3.310	317.666	2.447	-2.229	46.138	-1.194	-0.105	4.544	-43.038	100	1.201	1.308	0.052	-43.536	-42.541
822	07.04.24 08:35:00	6.959	8646656	299994	0.000	-1.505	438.148	91.890	-1.507	27.494	-1.530	2.212	304.096	1.240	-1.831	46.355	-1.197	-0.111	4.245	-42.954	100	1.205	1.338	0.054	-43.076	-42.831
823	07.04.24 08:40:00	6.959	8646656	299994	0.000	-1.510	438.192	91.911	-1.502	27.496	-1.546	2.274	333.749	2.039	-1.006	46.191	-1.221	-0.107	4.254	-43.399	100	1.228	1.393	0.063	-43.782	-43.015
824	07.04.24 08:45:00	6.959	8646656	299994	0.000	-1.523	438.060	91.854	-1.513	27.498	-1.573	3.093	312.576	2.093	-2.278	46.460	-1.293	-0.089	4.231	-42.878	100	1.299	1.403	0.060	-43.178	-42.578
825	07.04.24 08:50:00	6.959	8646656	299994	0.000	-1.485	438.122	91.934	-1.488	27.518	-1.492	1.934	307.657	1.182	-1.531	44.718	-1.204	-0.094	5.435	-43.323	100	1.210	1.341	0.060	-42.988	-43.657
826	07.04.24 08:55:00	6.953	8646656	299994	0.000	-1.470	438.117	91.976	-1.472	27.531	-1.530	0.972	315.481	0.693	-0.681	43.709	-1.090	-0.097	4.451	-42.949	100	1.096	1.257	0.054	-42.884	-43.013
827	07.04.24 09:00:00	6.965	8646656	299994	0.000	-1.452	438.163	92.060	-1.445	27.553	-1.479	3.375	304.489	1.911	-2.781	44.044	-1.124	-0.118	5.006	-41.718	100	1.133	1.261	0.057	-41.894	-41.542
828	07.04.24 09:05:00	6.953	8646656	299994	0.000	-1.453	438.115	92.027	-1.453	27.543	-1.449	2.237	304.283	1.260	-1.849	44.444	-1.153	-0.126	4.510	-42.637	100	1.163	1.319	0.054	-42.803	-42.471
829	07.04.24 09:10:00	6.959	8646656	299994	0.000	-1.449	437.903	91.996	-1.448	27.550	-1.396	3.476	333.916	3.122	-1.528	44.579	-1.172	-0.119	4.683	-42.367	100	1.181	1.322	0.063	-42.637	-42.098
830	07.04.24 09:15:00	6.953	8646656	299994	0.000	-1.427	438.101	92.078	-1.433	27.568	-1.466	2.081	342.648	1.986	-0.621	44.138	-1.153	-0.137	4.456	-42.141	100	1.165	1.308	0.057	-42.366	-41.916
831	07.04.24 09:20:00	6.953	8646656	299994	0.000	-1.470	437.896	91.948	-1.466	27.527	-1.456	4.402	326.293	3.662	-2.443	44.093	-1.155	-0.122	4.565	-42.442	100	1.165	1.271	0.055	-42.597	-42.286
832	07.04.24 09:25:00	6.953	8646656	299994	0.000	-1.452	437.887	91.980	-1.453	27.549	-1.505	2.512	345.923	2.436	-0.611	44.133	-1.178	-0.117	5.200	-42.763	100	1.187	1.345	0.064	-43.218	-42.308
833	07.04.24 09:30:00	6.959	8646656	299994	0.000	-1.435	437.899	92.033	-1.434	27.562	-1.499	3.379	314.284	2.359	-2.419	43.578	-1.164	-0.128	4.328	-42.735	100	1.174	1.317	0.055	-42.629	-42.841
834	07.04.24 09:35:00	6.953	8646656	299994	0.000	-1.444	437.682	91.942	-1.451	27.543	-1.421	2.473	338.179	2.296	-0.919	42.583	-1.122	-0.138	4.453	-42.829	100	1.134	1.257	0.059	-42.962	-42.697
835	07.04.24 09:40:00	6.953	8646656	299994	0.000	-1.447	437.575	91.936	-1.445	27.557	-1.486	2.322	295.803	1.011	-2.090	42.192	-1.109	-0.110	3.806	-42.361	100	1.117	1.237	0.056	-42.202	-42.519
836	07.04.24 09:45:00	6.953	8646656	299994	0.000	-1.429	438.085	92.095	-1.425	27.576	-1.475	3.436	325.278	2.824	-1.957	41.967	-1.103	-0.126	4.736	-42.790	100	1.112	1.285	0.058	-42.838	-42.743
837	07.04.24 09:50:00	6.959	8646656	299993	0.000	-1.425	437.723	92.018	-1.426	27.572	-1.407	2.980	306.081	1.755	-2.409	42.089	-1.071	-0.125	4.647	-42.341	100	1.081	1.221	0.054	-42.597	-42.086
838	07.04.24 09:55:00	6.959	8646656	299994	0.000	-1.447	437.673	91.954	-1.445	27.545	-1.501	1.839	341.968	1.748	-0.569	32.206	-1.053	-0.233	4.768	-42.111	100	1.091	1.452	0.111	-42.152	-42.070
839	07.04.24 10:00:00	6.953	8646656	299994	0.000	-5.700	470.050	96.385	-2.274	0.007	-2.525	2531.505	278.947	393.703	-2500.703	300.280	58.047	32.167	1753.031	-69.253	3	89.931	90.000	0.460	-69.068	-69.438
840	07.04.24 10:05:00	6.965	8646656	299994	0.000	-8.349	471.090	93.326	-3.428	0.015	-4.738	8874.355	123.810	-4938.067	7373.580	300.289	58.010	32.180	7967.514	-71.432	2	89.977	90.000	0.174	-71.455	-71.409
841	07.04.24 10:10:00	6.947	8646656	299994	0.000	-9.542	485.457	91.350	-5.104	0.009	-6.622	523.081	74.481	139.953	504.011	300.756	57.974	32.144	5957.902	-71.599	9	89.673	90.000	1.481	-71.554	-71.645
842	07.04.24 10:15:00	6.953	8646656	299994	0.000	-10.290	508.611	91.176	-6.636	-0.043	-8.065	1180.901	296.585	528.487	-1056.044	305.705	58.897	31.143	3606.430	-71.694	30	88.990	90.000	1.762	-71.708	-71.681
843	07.04.24 10:20:00	6.947	8646656	299994	0.000	-10.441	525.670	91.542	-7.530	-0.041	-8.707	202.933	179.364	-202.921	2.253	314.603	58.511	31.441	2614.479	-71.765	65	87.008	90.000	2.742	-71.835	-71.694
844	07.04.24 10:25:00	6.941	8646656	299993	0.000	-11.022	535.851	90.764	-8.372	-0.038	-9.193	1041.345	51.476	648.587	814.699	266.203	42.128	48.383	1083.172	-71.703	10	89.291	90.000	2.591	-71.724	-71.682
845	07.04.24 10:30:00	6.928	8650752	299994	0.000	-10.762	541.776	89.088	-9.257	-0.037	-9.749	464.629	47.818	311.993	344.296	269.856	44.160	46.225	820.665	-71.923	6	89.479	90.000	2.541	-71.932	-71.914
846	07.04.24 10:35:00	6.928	8650752	299994	0.000	-10.670	547.342	88.295	-9.821	-0.037	-9.968	485.182	215.627	-394.368	-282.623	269.072	44.276	46.785	2294.925	-71.817	11	88.998	90.000	3.277	-71.754	-71.879
847	07.04.24 10:40:00	6.928	8650752	299994	0.000	-11.071	552.950	88.355	-10.099	-0.037	-10.196	92.814	177.859	-92.750	3.467	297.757	45.352	44.828	2287.536	-71.872	4	89.774	90.000	1.340	-71.771	-71.974
848	07.04.24 10:45:00	6.917	8650752	299994	0.000	-9.523	563.089	90.356	-9.976	-0.040	-10.105	115.692	33.060	96.961	63.112	70.725	44.487	45.092	754.841	-71.830	100	83.252	89.450	1.172	-71.828	-71.833
849	07.04.24 10:50:00	6.911	8650752	299994	0.000	-0.661	552.341	105.162	-4.726	0.096	-4.573	0.000	0.000	0.000	0.000	296.651	44.404	45.939	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
850	07.04.24 10:55:00	6.917	8650752	299994	0.000	-0.220	495.895	105.085	-1.150	0.003	-1.113	570.183	0.822	570.124	8.175	100.622	-44.937	-45.528	0.000	-71.597	1	89.715	90.000	2.846	-71.765	-71.429
851	07.04.24 11:00:00	6.911	8650752	299994	0.000	-0.690	494.339	105.040	-1.056	0.002	-0.914	1423.246	37.680	1126.411	869.959	344.345	-42.449	-46.766	4362.236	-71.740	63	85.489	90.000	7.389	-71.776	-71.703
852	07.04.24 11:05:00	6.928	8650752	299994	0.000	-1.143	480.143	102.678	-0.834	0.002	-0.927	484.688	37.986	382.014	298.308	320.431	-42.695	-47.155	1561.552	-71.795	87	86.382	90.000	1.858	-71.811	-71.780
853	07.04.24 11:10:00	6.928	8650752	299994	0.000	-0.367	453.917	97.638	-0.631	0.005	-0.861	203.898	183.115	-203.597	-11.079	307.394	-42.616	-46.521	807.743	-71.575	85	82.332	90.000	8.536	-71.668	-71.482
854	07.04.24 11:15:00	6.923	8650752	299993	0.000	-0.082	367.766	79.651	-0.391	0.004	-0.599	753.407	23.671	690.022	302.476	306.883	-42.089	-47.854	2341.639	-71.499	76	87.782	90.000	1.617	-71.632	-71.367
855	07.04.24 11:20:00	6.941	8650752	299994	0.000	0.087	432.967	94.337	-0.180	0.001	-0.397	562.595	15.825	541.273	153.417	301.579	-42.075	-47.826	1826.257	-71.503	87	87.068	90.000	1.647	-71.606	-71.399
856	07.04.24 11:25:00	6.947	8650752	299994	0.000	0.136	461.898	101.046	-0.038	-0.008	-0.194	17.541	200.861	-16.391	-6.246	314.633	-42.072	-47.850	2461.637	-71.546	68	87.529	90.000	2.230	-71.622	-71.471
857	07.04.24 11:30:00	6.947	8650752	299994	0.000	0.274	473.947	103.861	0.023	-0.009	-0.041	410.279	27.632	363.484	190.283	298.687	-42.047	-47.800	1293.762	-71.483	94	86.260	90.000	1.475	-71.624	-71.342
858	07.04.24 11:35:00	6.947	8654848	299994	0.000	0.983	477.733	105.754	0.381	-0.010	0.292	105.445	210.034	-91.286	-52.777	297.217	-42.061	-47.814	1604.321	-71.504	94	86.666	90.000	1.364	-71.560	-71.448
859	07.04.24 11:40:00	6.953	8654848	299994	0.000	1.049	465.914	104.970	1.011	-0.013	0.551	430.302	20.866	402.081	153.266	295.631	-42.047	-47.776	1395.011	-71.496	100	85.854	88.498	1.018	-71.591	-71.402
860	07.04.24 11:45:00	6.947	8654848	299993	0.000	1.267	462.122	105.214	1.390	-0.015	1.310	547.725	204.141	-499.820	-224.014	296.828	-42.050	-47.797	1182.972	-71.466	95	86.268	90.000	1.361	-71.553	-71.380
861	07.04.24 11:50:00	6.959	8654848	299994	0.000	2.234	460.834	106.401	1.900	-0.014	1.931	262.844	15.664	253.082	70.966	297.559	-42.041	-47.779	1059.325	-71.465	95	85.861	90.000	1.359	-71.534	-71.396
862	07.04.24 11:55:00	6.965	8654848	299993	0.000	2.995	458.477	107.580	2.495	-0.016	2.626	450.069	212.507	-379.555	-241.868	297.342	-42.010	-47.765	1171.879	-71.540	99	85.333	90.000	1.137	-71.614	-71.466
863	07.04.24 12:00:00	6.976	8654848	299994	0.000	3.662	450.362	107.628	3.176	-0.016	3.338	195.861	206.223	-175.703	-86.544	296.353	-42.007	-47.789	1190.142	-71.528	97	85.597	90.000	1.330	-71.639	-71.417
864	07.04.24 12:05:00	6.970	8654848	299993	0.000	4.227	441.616	107.439	3.849	-0.016	4.016	123.148	26.779	109.941	55.484	296.164	-41.989	-47.759	947.842	-71.500	99	85.018	90.000	1.091	-71.569	-71.432
865	07.04.24 12:10:00	6.982	8654848	299994	0.000	4.801	432.866	107.023	4.464	-0.016	4.637	410.557	203.449	-376.652	-163.371	296.735	-41.971	-47.749	944.911	-71.452	99	84.723	90.000	0.955	-71.516	-71.388
866	07.04.24 12:15:00	6.982	8654848	299994	0.000	5.431	424.956	106.730	5.070	-0.017	5.241	331.150	15.032	319.818	85.888	295.830	-41.933	-47.745	729.238	-71.434	100	84.321	86.752	0.829	-71.514	-71.354
867	07.04.24 12:20:00	6.988	8654848	299994	0.000	5.882	418.188	106.594	5.647	-0.017	5.831	177.090	209.640	-153.918	-87.579	297.493	-41.919	-47.728	642.803	-71.467	100	84.036	86.475	0.757	-71.530	-71.403
868	07.04.24 12:25:00	6.988	8654848	299993	0.000	6.361	411.608	106.371	6.189	-0.017	6.349	186.353	210.563	-160.462	-94.759	297.351	-41.910	-47.702	759.522	-71.445	100	83.765	88.803	0.936	-71.548	-71.343
869	07.04.24 12:30:00	7.001	8654848	299993	0.000	6.813	406.287	106.303	6.681	-0.018	6.856	106.892	11.335	104.807	21.010	297.531	-41.901	-47.721	790.395	-71.357	97	83.914	90.000	1.488	-71.423	-71.291
870	07.04.24 12:35:00	7.001	8654848	299993	0.000	6.601	399.960	105.570	7.033	-0.018	7.201	62.189	214.921	-50.991	-35.600	296.276	-41.887	-47.717	816.258	-71.376	100	83.710	85.650	0.942	-71.503	-71.250
871	07.04.24 12:40:00	7.007	8654848	299993	0.000	6.814	391.643	103.949	7.256	-0.018	7.357	56.422	34.605	46.440	32.043	297.811	-41.906	-47.700	812.490	-71.335	96	83.754	90.000	1.806	-71.417	-71.254
872	07.04.24 12:45:00	7.012	8654848	299993	0.000	7.131	386.417	103.077	7.459	-0.018	7.530	332.243	204.596	-302.096	-138.287	297.433	-41.885	-47.692	746.500	-71.337	100	83.523	87.581	1.106	-71.377	-71.297
873	07.04.24 12:50:00	7.012	8654848	299993	0.000	7.200	384.183	102.920	7.632	-0.018	7.665	211.870	210.551	-182.457	-107.695	300.378	-41.841	-47.676	705.363	-71.357	100	83.062	85.893	1.015	-71.473	-71.241
874	07.04.24 12:55:00	7.012	8654848	299993	0.000	7.445	381.763	102.687	7.797	-0.018	7.820	378.138	24.401	344.360	156.218	299.305	-41.852	-47.648	630.067	-70.660	100	82.889	84.317	0.628	-70.913	-70.408
875	07.04.24 13:00:00	7.018	8654848	299994	0.000	7.523	379.722	102.579	7.973	-0.018	8.036	585.898	25.846	527.291	255.423	321.018	-41.844	-47.661	441.724	-70.055	68	83.917	90.000	4.733	-70.467	-69.642
876	07.04.24 13:05:00	7.018	8654848	299994	0.000	7.707	376.355	102.068	8.133	-0.018	8.185	629.021	24.144	573.995	257.288	320.704	-41.843	-47.668	798.642	-69.962	71	83.779	90.000	4.775	-70.288	-69.636
877	07.04.24 13:10:00	7.018	8654848	299994	0.000	7.871	374.686	102.028	8.300	-0.017	8.353	891.704	25.598	804.183	385.262	321.269	-41.828	-47.656	1106.448	-69.971	73	83.908	90.000	4.783	-70.337	-69.605
878	07.04.24 13:15:00	7.030	8654848	299994	0.000	8.344	375.692	102.955	8.562	-0.017	8.611	1025.638	29.234	895.002	500.903	327.254	-41.851	-47.686	723.939	-69.426	68	84.006	90.000	4.813	-70.181	-68.671
879	07.04.24 13:20:00	7.024	8654848	299994	0.000	8.651	375.240	103.628	8.882	-0.017	9.029	439.976	34.688	361.778	250.391	334.018	-41.843	-47.680	649.893	-69.742	66	83.801	90.000	5.157	-70.503	-68.982
880	07.04.24 13:25:00	7.018	8650752	299994	0.000	8.585	372.026	103.373	9.138	-0.018	9.256	368.993	40.584	280.233	240.053	332.363	-41.774	-47.600	1181.380	-69.658	71	83.195	90.000	5.360	-70.205	-69.112
881	07.04.24 13:30:00	7.024	8650752	299994	0.000	8.755	368.017	102.695	9.316	-0.017	9.389	1052.387	32.319	889.358	562.638	335.156	-41.879	-47.708	738.896	-69.778	67	83.879	90.000	5.239	-70.465	-69.092
882	07.04.24 13:35:00	7.030	8650752	299994	0.000	8.811	364.680	102.008	9.416	-0.017	9.487	922.610	32.233	780.424	492.086	337.409	-41.782	-47.713	628.257	-69.869	63	84.161	90.000	5.241	-70.314	-69.424
883	07.04.24 13:40:00	7.030	8650752	299994	0.000	8.906	363.411	101.881	9.510	-0.018	9.576	909.921	32.246	769.581	485.490	319.973	-41.813	-47.687	847.620	-69.801	79	83.881	90.000	4.229	-70.370	-69.233
884	07.04.24 13:45:00	7.042	8650752	299994	0.000	9.133	360.952	101.477	9.629	-0.020	9.696	676.341	32.311	571.618	361.510	322.256	-41.832	-47.657	804.223	-69.742	75	83.677	90.000	4.657	-70.358	-69.126
885	07.04.24 13:50:00	7.036	8650752	299994	0.000	9.311	360.312	101.666	9.782	-0.020	9.868	356.089	31.541	303.481	186.275	325.697	-41.870	-47.705	704.705	-69.914	69	84.234	90.000	4.730	-70.515	-69.313
886	07.04.24 13:55:00	7.030	8654848	299994	0.000	9.328	359.542	101.782	9.921	-0.020	10.007	877.746	30.548	755.918	446.122	329.575	-41.857	-47.634	894.482	-69.945	68	83.993	90.000	4.867	-70.300	-69.590
887	07.04.24 14:00:00	7.036	8654848	299994	0.000	9.543	356.897	101.305	10.035	-0.020	10.092	811.333	30.279	700.654	409.078	322.293	-41.840	-47.647	1043.329	-70.037	73	83.846	90.000	4.639	-70.593	-69.481
888	07.04.24 14:05:00	7.042	8658944	299994	0.000	9.668	355.663	101.234	10.152	-0.020	10.216	632.480	29.898	548.307	315.264	321.681	-41.832	-47.661	546.408	-69.915	72	83.627	90.000	4.829	-70.480	-69.350
889	07.04.24 14:10:00	7.036	8658944	299994	0.000	9.671	354.205	101.059	10.253	-0.021	10.298	707.355	27.933	624.944	331.354	318.951	-41.810	-47.660	805.453	-69.993	74	83.572	90.000	4.717	-70.448	-69.537
890	07.04.24 14:15:00	7.030	8658944	299994	0.000	9.839	352.344	100.752	10.348	-0.020	10.386	715.369	28.802	626.869	344.655	323.925	-41.906	-47.700	744.803	-69.865	66	84.473	90.000	4.796	-70.479	-69.250
891	07.04.24 14:20:00	7.036	8658944	299994	0.000	9.889	351.556	100.655	10.402	-0.020	10.442	751.089	27.596	665.642	347.930	323.206	-41.864	-47.556	473.359	-69.841	70	82.952	90.000	5.636	-70.411	-69.271
892	07.04.24 14:25:00	7.030	8658944	299993	0.000	10.012	350.122	100.437	10.485	-0.020	10.542	386.557	24.528	351.675	160.472	324.506	-42.087	-47.767	770.564	-70.275	55	85.382	90.000	4.831	-70.640	-69.909
893	07.04.24 14:30:00	7.042	8658944	299994	0.000	10.125	350.138	100.735	10.609	-0.019	10.638	9.526	61.699	4.516	8.387	315.308	-41.920	-47.665	741.188	-70.863	69	83.744	90.000	5.151	-71.101	-70.626
894	07.04.24 14:35:00	7.042	8658944	299993	0.000	10.162	349.029	100.656	10.712	-0.020	10.702	14.044	179.462	-14.043	0.132	20.869	-41.850	-47.798	492.026	-70.916	61	84.191	90.000	5.350	-71.093	-70.738
895	07.04.24 14:40:00	7.042	8658944	299994	0.000	10.209	346.399	99.945	10.732	-0.020	10.738	162.014	270.886	2.506	-161.995	33.198	-41.870	-47.732	1012.385	-70.749	59	84.060	90.000	5.710	-71.044	-70.454
896	07.04.24 14:45:00	7.042	8658944	299993	0.000	10.241	345.684	99.779	10.750	-0.021	10.736	102.521	263.898	-10.898	-101.940	26.406	-41.900	-47.681	429.928	-70.827	58	83.881	90.000	5.772	-71.152	-70.502
897	07.04.24 14:50:00	7.036	8658944	299994	0.000	9.730	344.664	99.342	10.688	-0.020	10.687	320.206	116.445	-142.602	286.699	53.350	-41.877	-47.771	532.363	-70.283	62	84.161	90.000	5.192	-70.561	-70.006
898	07.04.24 14:55:00	7.042	8658944	299994	0.000	9.538	341.938	98.130	10.502	-0.018	10.389	400.277	150.342	-347.837	198.068	90.871	-41.836	-47.750	1111.254	-70.436	66	84.017	90.000	5.189	-70.757	-70.116
899	07.04.24 15:00:00	7.048	8658944	299993	0.000	9.959	343.976	98.568	10.438	-0.020	10.357	196.896	312.815	133.818	-144.433	212.374	-42.018	-47.847	1067.141	-70.927	50	85.767	90.000	4.822	-71.085	-70.769
900	07.04.24 15:05:00	7.042	8658944	299994	0.000	10.046	345.650	98.987	10.412	-0.020	10.371	54.450	13.934	52.848	13.112	165.178	-41.861	-47.723	1191.654	-70.900	72	84.041	90.000	4.594	-71.041	-70.759
901	07.04.24 15:10:00	7.036	8658944	299994	0.000	10.157	347.328	99.686	10.506	-0.018	10.498	138.038	190.898	-135.549	-26.097	111.194	-41.925	-47.643	746.949	-70.804	64	83.865	90.000	5.210	-71.014	-70.593
902	07.04.24 15:15:00	7.048	8658944	299994	0.000	9.657	346.472	99.177	10.393	-0.017	10.311	991.814	135.164	-703.324	699.307	66.542	-41.819	-47.682	1264.032	-70.033	74	83.326	90.000	4.957	-70.440	-69.627
903	07.04.24 15:20:00	7.042	8658944	299994	0.000	9.831	345.214	98.561	10.282	-0.018	10.229	538.363	195.085	-519.812	-140.110	111.218	-41.816	-47.852	736.002	-70.297	61	84.454	90.000	5.153	-70.737	-69.857
904	07.04.24 15:25:00	7.042	8658944	299994	0.000	10.271	348.105	99.624	10.384	-0.018	10.374	444.888	275.032	39.021	-443.173	159.205	-42.156	-47.794	1026.525	-70.472	55	86.382	90.000	3.937	-70.766	-70.178
905	07.04.24 15:30:00	7.042	8658944	299994	0.000	10.429	349.857	100.576	10.576	-0.019	10.616	231.501	245.547	-95.829	-210.736	150.092	-41.966	-47.819	605.725	-70.561	56	85.250	90.000	4.959	-70.784	-70.338
906	07.04.24 15:35:00	7.036	8658944	299993	0.000	10.894	351.259	101.604	10.841	-0.018	10.886	413.201	290.033	141.549	-388.200	173.736	-41.981	-47.863	962.897	-70.530	55	85.436	90.000	4.883	-70.808	-70.252
907	07.04.24 15:40:00	7.042	8658944	299994	0.000	10.291	349.562	101.181	10.870	-0.018	10.942	439.122	283.201	100.282	-427.517	180.561	-42.017	-47.838	560.961	-70.087	53	85.845	90.000	4.497	-70.453	-69.722
908	07.04.24 15:45:00	7.042	8658944	299993	0.000	9.993	344.803	99.523	10.749	-0.018	10.697	479.678	285.673	129.580	-461.844	183.087	-41.644	-48.180	1231.701	-70.528	62	85.537	90.000	4.056	-70.854	-70.202
909	07.04.24 15:50:00	7.036	8658944	299994	0.000	10.354	344.431	99.237	10.672	-0.018	10.651	154.906	80.016	26.857	152.560	38.135	-41.574	-48.249	705.684	-70.740	61	85.534	90.000	4.274	-70.880	-70.600
910	07.04.24 15:55:00	7.048	8658944	299994	0.000	10.672	347.759	100.384	10.752	-0.018	10.782	246.638	77.485	53.447	240.777	28.100	-41.821	-47.922	602.132	-70.859	63	84.543	90.000	4.935	-71.002	-70.715
911	07.04.24 16:00:00	7.048	8663040	299994	0.000	10.638	348.184	100.854	10.901	-0.018	10.963	364.757	54.557	211.517	297.166	351.594	-41.664	-48.181	555.592	-70.556	56	85.636	90.000	4.318	-70.833	-70.278
